Date,Brazil,Canada,France,Germany,Italy,Jamaica,Japan,"Korea, South",Mexico,Spain,United Kingdom
2020-01-22,0,0,0,0,0,0,2,1,0,0,0
2020-01-23,0,0,0,0,0,0,1,1,0,0,0
2020-01-24,0,0,2,0,0,0,2,2,0,0,0
2020-01-25,0,0,3,0,0,0,2,2,0,0,0
2020-01-26,0,1,3,0,0,0,4,3,0,0,0
2020-01-27,0,1,3,1,0,0,4,4,0,0,0
2020-01-28,0,2,4,4,0,0,7,4,0,0,0
2020-01-29,0,2,5,4,0,0,7,4,0,0,0
2020-01-30,0,2,5,4,0,0,11,4,0,0,0
2020-01-31,0,4,5,5,2,0,15,11,0,0,2
2020-02-01,0,4,6,8,2,0,20,12,0,1,2
2020-02-02,0,4,6,10,2,0,20,15,0,1,2
2020-02-03,0,4,6,12,2,0,20,15,0,1,2
2020-02-04,0,4,6,12,2,0,22,16,0,1,2
2020-02-05,0,5,6,12,2,0,22,19,0,1,2
2020-02-06,0,5,6,12,2,0,45,23,0,1,2
2020-02-07,0,7,6,13,3,0,25,24,0,1,3
2020-02-08,0,7,11,13,3,0,25,24,0,1,3
2020-02-09,0,7,11,14,3,0,26,25,0,2,3
2020-02-10,0,7,11,14,3,0,26,27,0,2,8
2020-02-11,0,7,11,16,3,0,26,28,0,2,8
2020-02-12,0,7,11,16,3,0,28,28,0,2,9
2020-02-13,0,7,11,16,3,0,28,28,0,2,9
2020-02-14,0,7,11,16,3,0,29,28,0,2,9
2020-02-15,0,7,12,16,3,0,43,28,0,2,9
2020-02-16,0,7,12,16,3,0,59,29,0,2,9
2020-02-17,0,8,12,16,3,0,66,30,0,2,9
2020-02-18,0,8,12,16,3,0,74,31,0,2,9
2020-02-19,0,8,12,16,3,0,84,31,0,2,9
2020-02-20,0,8,12,16,3,0,94,104,0,2,9
2020-02-21,0,9,12,16,20,0,105,204,0,2,9
2020-02-22,0,9,12,16,62,0,122,433,0,2,9
2020-02-23,0,9,12,16,155,0,147,602,0,2,9
2020-02-24,0,10,12,16,229,0,159,833,0,2,13
2020-02-25,0,11,14,17,322,0,170,977,0,6,13
2020-02-26,1,11,18,27,453,0,189,1261,0,13,13
2020-02-27,1,13,38,46,655,0,214,1766,0,15,15
2020-02-28,1,14,57,48,888,0,228,2337,1,32,20
2020-02-29,2,20,100,79,1128,0,241,3150,4,45,23
2020-03-01,2,24,130,130,1694,0,256,3736,5,84,36
2020-03-02,2,27,191,159,2036,0,274,4335,5,120,40
2020-03-03,2,30,204,196,2502,0,293,5186,5,165,51
2020-03-04,4,33,288,262,3089,0,331,5621,5,222,86
2020-03-05,4,37,380,482,3858,0,360,6088,5,259,116
2020-03-06,13,49,656,670,4636,0,420,6593,6,400,164
2020-03-07,13,54,957,799,5883,0,461,7041,6,500,207
2020-03-08,20,64,1134,1040,7375,0,502,7314,7,673,274
2020-03-09,25,77,1217,1176,9172,0,511,7478,7,1073,322
2020-03-10,31,79,1792,1457,10149,0,581,7513,7,1695,384
2020-03-11,38,108,2290,1908,12462,1,639,7755,8,2277,459
2020-03-12,52,117,2290,2078,12462,2,639,7869,12,2277,459
2020-03-13,151,193,3678,3675,17660,8,701,7979,12,5232,802
2020-03-14,151,198,4487,4585,21157,8,773,8086,26,6391,1144
2020-03-15,162,252,4523,5795,24747,10,839,8162,41,7798,1145
2020-03-16,200,415,6668,7272,27980,10,825,8236,53,9942,1551
2020-03-17,321,478,7699,9257,31506,12,878,8320,82,11748,1960
2020-03-18,372,657,9105,12327,35713,13,889,8413,93,13910,2642
2020-03-19,621,800,10945,15320,41035,15,924,8565,118,17963,2714
